latitude,longitude,room_type,price,zipcode,zcta_housing_2020,total_units_2020,occupied_units_2020,vacant_units_2020,median_rooms_2020,owner_occupied_units_2020,rental_occupied_units_2020,median_value_2020,median_monthly_costs_2020,median_rent_2020,five_year_diff,total_units_2015,occupied_units_2015,vacant_units_2015,median_rooms_2015,owner_occupied_units_2015,rental_occupied_units_2015,median_value_2015,median_monthly_costs_2015,median_rent_2015,median_household_income_2020,median_family_income_2020,median_household_income_2015,median_family_income_2015,zipcount,class
40.06225,-82.85429,0,60,43230,43230,25484,24546.0,938,5.8,14855,9691,204000.0,1542.0,1140,34800.0,22879.0,22120.0,759.0,6.1,14496.0,7624.0,169200.0,1497.0,985.0,75960.0,95989.0,70618.0,87964.0,37.0,2
40.06193,-82.85436,0,69,43230,43230,25484,24546.0,938,5.8,14855,9691,204000.0,1542.0,1140,34800.0,22879.0,22120.0,759.0,6.1,14496.0,7624.0,169200.0,1497.0,985.0,75960.0,95989.0,70618.0,87964.0,37.0,2
39.97388,-83.00451,1,199,43215,43215,10791,9609.0,1182,3.3,1891,7718,324000.0,1975.0,1215,69300.0,9281.0,8170.0,1111.0,3.3,1728.0,6442.0,254700.0,1975.0,920.0,64368.0,92708.0,52178.0,125239.0,245.0,1
40.06489,-83.11963,1,180,43221,43221,14927,14190.0,737,6.3,10010,4180,306300.0,2055.0,1244,66700.0,13903.0,13150.0,753.0,6.6,9659.0,3491.0,239600.0,1816.0,1018.0,96233.0,119688.0,85095.0,105450.0,22.0,1
39.992,-83.01084,0,62,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.98695,-83.00125,1,146,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.96281,-82.94999,0,70,43205,43205,7366,5510.0,1856,5.6,1949,3561,211600.0,1492.0,755,108800.0,7271.0,5205.0,2066.0,5.7,1791.0,3414.0,102800.0,1120.0,690.0,40559.0,44420.0,30491.0,32843.0,203.0,0
40.06467,-82.98839,0,54,43229,43229,22593,21343.0,1250,5.0,8495,12848,143000.0,1232.0,879,23000.0,22243.0,20011.0,2232.0,5.1,8149.0,11862.0,120000.0,1201.0,763.0,44804.0,51324.0,38004.0,45185.0,40.0,0
40.06467,-82.98839,0,61,43229,43229,22593,21343.0,1250,5.0,8495,12848,143000.0,1232.0,879,23000.0,22243.0,20011.0,2232.0,5.1,8149.0,11862.0,120000.0,1201.0,763.0,44804.0,51324.0,38004.0,45185.0,40.0,0
40.06466,-82.98839,0,54,43229,43229,22593,21343.0,1250,5.0,8495,12848,143000.0,1232.0,879,23000.0,22243.0,20011.0,2232.0,5.1,8149.0,11862.0,120000.0,1201.0,763.0,44804.0,51324.0,38004.0,45185.0,40.0,0
40.01904,-83.00172,1,90,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
39.96581,-82.99891,1,107,43215,43215,10791,9609.0,1182,3.3,1891,7718,324000.0,1975.0,1215,69300.0,9281.0,8170.0,1111.0,3.3,1728.0,6442.0,254700.0,1975.0,920.0,64368.0,92708.0,52178.0,125239.0,245.0,1
40.0615,-82.98872,0,54,43229,43229,22593,21343.0,1250,5.0,8495,12848,143000.0,1232.0,879,23000.0,22243.0,20011.0,2232.0,5.1,8149.0,11862.0,120000.0,1201.0,763.0,44804.0,51324.0,38004.0,45185.0,40.0,0
40.06467,-82.98839,0,54,43229,43229,22593,21343.0,1250,5.0,8495,12848,143000.0,1232.0,879,23000.0,22243.0,20011.0,2232.0,5.1,8149.0,11862.0,120000.0,1201.0,763.0,44804.0,51324.0,38004.0,45185.0,40.0,0
39.96145,-82.97216,0,32,43205,43205,7366,5510.0,1856,5.6,1949,3561,211600.0,1492.0,755,108800.0,7271.0,5205.0,2066.0,5.7,1791.0,3414.0,102800.0,1120.0,690.0,40559.0,44420.0,30491.0,32843.0,203.0,0
39.96661,-82.96441,1,82,43205,43205,7366,5510.0,1856,5.6,1949,3561,211600.0,1492.0,755,108800.0,7271.0,5205.0,2066.0,5.7,1791.0,3414.0,102800.0,1120.0,690.0,40559.0,44420.0,30491.0,32843.0,203.0,0
