id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42973664,Castle - Loving Castle - Elegant  2 BR Victorian,342137119,Matthew And Annette,,Downtown,39.96102,-82.98534,Entire home/apt,150,30,1,2022-05-15,0.23,1,301,1,
43059984,Big Bird's Nest,215726213,Alan,,Northeast,40.04492,-82.89634,Entire home/apt,67,2,72,2022-09-19,3.19,1,40,40,2020-2084
43102007,LUXURY 1BR APARTMENT NEAR HEART OF COLUMBUS,158439641,GH Hospitality,,Downtown,39.95733,-82.99515,Entire home/apt,115,2,65,2022-09-11,2.19,52,361,30,2021-2815
43109928,GORGEOUS 1BR APARTMENT I GYM + FREE PARK,158439641,GH Hospitality,,Downtown,39.95668,-82.99512,Entire home/apt,111,2,76,2022-09-16,2.61,52,331,34,2021-2812
43110099,BEAUTIFUL ONE BEDROOM APARTMENT IN THE HEART OF CO,158439641,GH Hospitality,,Downtown,39.95678,-82.99315,Entire home/apt,100,2,75,2022-09-08,2.52,52,336,36,2021-2813
43110127,LOVELY 1BR APARTMENT IN HEART OF COL + FREE PARK,158439641,GH Hospitality,,Downtown,39.95706,-82.99516,Entire home/apt,103,1,78,2022-09-05,2.65,52,354,34,2021-2814
43111171,HIGH END 1BR APTMENT I BEAUTIFUL VIEW OF COLAR,158439641,GH Hospitality,,Downtown,39.9559,-82.99448,Entire home/apt,102,1,80,2022-09-11,2.69,52,359,20,2020-1016
43111195,MODERN ONE BEDROOM APT WITH GYM & FREE PARKING,158439641,GH Hospitality,,Downtown,39.95745,-82.99505,Entire home/apt,103,1,77,2022-09-02,2.61,52,349,39,2020-1016
43122677,The Cellar - Fully Renovated Unit in Clintonville,226592539,Nesip,,Clintonville,40.034374,-83.009888,Entire home/apt,72,2,54,2022-09-09,2.21,1,0,27,2021-2764
43154301,BRAND NEW HUGE LUXURY HOME W/ TERRACE! MUST SEE!,107290958,Joel,,Near North/University,39.98631,-83.00093,Entire home/apt,390,2,80,2022-09-13,2.68,6,317,39,2020-2075
43156459,HUGE NEW LUXE HOME W/ TERRACE! BEST AIRBNB IN CBUS,107290958,Joel,,Near North/University,39.98537,-82.99953,Entire home/apt,392,2,66,2022-09-04,2.21,6,314,47,2020-2076
43348554,Schumacher Place/German Village TownHome,29996491,Elaine,,Near South,39.9488,-82.98535,Entire home/apt,121,1,295,2022-09-01,10.64,2,71,139,2019-1470
